Diff_pos_neg,Reviewer_Score
-386,2.9
105,7.5
-21,7.1
-184,3.8
-132,6.7
3,6.7
-15,4.6
8,10
-34,6.5
35,7.9
96,10
-71,5.8
-22,4.6
59,9.2
-20,8.8
82,10
-24,6.3
5,7.5
33,7.1
-25,7.5
-23,6.3
-17,3.8
-327,5.4
29,9.6
127,9.6
-14,8.3
83,9.6
-25,8.3
-31,8.3
25,9.2
21,9.2
-45,7.1
-68,4.2
36,6.7
6,7.9
29,8.3
-7,7.1
27,8.8
93,8.8
-107,6.3
-22,7.5
-89,6.7
-95,2.9
8,9.6
-15,3.3
-23,7.9
-312,4.2
-9,8.3
77,10
-49,5.4
10,9.6
-99,7.1
60,10
49,10
-11,7.9
76,10
-47,7.1
4,7.9
-13,7.9
84,9.6
-139,4.6
-2,7.1
7,8.3
-26,6.3
9,9.2
-31,8.8
-12,9.2
62,7.5
-19,7.9
1,8.8
-29,6.7
-5,7.1
-14,7.1
-25,6.3
-138,7.1
56,10
-10,7.1
-10,7.5
68,9.2
34,9.2
-19,5.4
47,10
-46,5.8
-34,9.2
-20,7.9
33,10
-35,7.5
-56,5.8
0,5.8
-11,7.5
-115,4.2
-21,7.1
-37,5
-183,4.2
-27,6.7
70,9.6
38,10
-2,8.8
-112,5
-31,6.3
-38,5
-28,4.6
-56,8.8
-12,9.2
3,7.9
14,10
-7,7.1
-46,3.8
11,9.6
-6,8.8
-9,7.9
69,6.3
115,10
34,9.6
78,8.8
-52,7.1
-34,9.2
49,8.8
-68,7.9
-6,7.5
-39,4.6
-39,8.3
-9,4.2
14,7.5
-120,4.6
7,7.5
-40,5.8
-18,9.2
11,8.8
-31,7.9
3,7.9
-9,8.3
-75,7.1
-18,10
-180,4.6
29,9.6
-7,10
-17,9.2
-3,6.3
0,6.7
40,10
24,10
8,8.3
-17,5.4
-19,8.8
-17,9.6
-195,2.5
-14,5.4
3,7.9
71,9.2
-5,6.3
-64,8.8
-1,7.5
6,9.6
33,6.7
-22,5.8
-63,7.5
-51,5
-18,8.8
-39,4.2
30,8.8
-23,6.7
-43,5
36,9.2
-24,7.9
46,9.2
-6,7.9
-25,7.1
35,10
-36,2.9
-1,9.2
-31,7.1
-81,3.8
-51,9.6
66,10
-31,6.7
20,8.8
-3,10
78,10
-28,7.9
-45,7.9
-61,7.1
-115,4.6
18,8.3
26,9.2
-53,6.7
16,9.6
-172,4.2
-52,9.2
-83,3.1
-99,5.8
-64,6
20,9.2
-22,8.3
-32,7.1
-15,8.8
-75,4.6
3,9.2
37,9.2
-86,6.7
47,9.2
-12,10
-55,5.8
-37,6.3
37,10
-130,6.7
-55,6.3
67,9.2
-38,7.9
-82,4.6
6,9.2
31,10
-24,5.8
13,8.3
-21,7.1
35,10
-36,9.2
2,6.3
-6,9.6
-42,7.9
67,9.6
-35,9.2
45,9.6
52,9.6
24,10
35,9.6
133,8.8
-33,7.5
74,9.2
132,10
22,9.6
20,9.6
-53,7.1
-26,5.8
29,10
8,8.3
43,10
14,7.5
-33,6.7
-26,9.2
-20,8.3
27,9.6
33,9.6
7,8.8
-26,6.7
18,9.6
-4,7.5
-11,7.5
-6,9.6
-2,7.5
18,5.8
23,9.6
-1,9.2
7,10
10,6.3
24,10
-3,7.9
0,9.2
2,6.3
-14,7.9
-4,5.5
-3,7.5
-8,6.3
9,7.9
-6,6.7
4,10
-7,2.5
-8,9.2
0,10
12,10
2,8.3
25,9.6
-1,8.8
13,9.6
20,9.2
15,9.6
15,10
16,3.3
6,10
2,7.5
-24,8.3
17,10
20,9.2
8,10
2,9.6
4,9.2
3,10
-6,9.6
0,10
4,7.9
5,8.8
2,7.5
-6,9.2
7,10
3,5
-3,6.3
-1,5.4
6,8.8
-5,8.8
-12,4.6
1,10
-5,7.5
-4,8.3
8,9.6
-2,7.1
19,10
0,10
-17,6.7
4,9.6
-9,6.3
22,10
4,7.9
2,6.7
11,10
-8,9.2
14,10
-3,7.5
-3,7.9
27,8.8
2,3.8
16,10
20,8.8
-7,2.5
-3,7.1
-5,4.2
8,7.5
-4,3.8
-1,9.6
-1,7.1
-9,7.1
-7,3.3
-9,7.1
7,9.6
-4,9.6
2,5.4
1,6.3
-3,9.6
10,2.9
19,8.8
13,10
-4,7.5
3,7.9
-4,5.5
6,8.8
9,8.8
3,9.2
-13,6.3
4,10
11,10
-1,8.8
-9,5.4
-12,5.8
0,10
21,10
13,9.6
23,6.3
16,10
-14,5.4
9,9.2
9,10
13,10
4,9.6
-4,4.6
10,5.4
-2,5
1,7.5
20,7.5
-8,7.5
-4,6.7
-6,7.5
11,9.2
18,7.5
23,10
11,10
16,9.2
6,8.3
-14,5.4
-5,9.6
23,10
-6,4.6
12,9.6
4,8.3
9,9.2
-4,8.8
-1,8.8
10,9.6
1,5.4
9,8.8
-6,3.8
-4,7.1
8,9.6
-2,8.8
23,10
-7,7.5
11,9.6
1,7.9
4,9.2
2,8.3
-3,8.8
2,10
5,8.8
-2,10
12,8.8
10,9.2
15,9.2
